Unnamed: 0,br,qtd,ano
0,101,25947,2007
1,116,25292,2007
2,116,24704,2007
3,101,23408,2007
4,381,9119,2007
5,381,7537,2007
6,40,7367,2007
7,40,6657,2007
8,262,4841,2007
9,153,4722,2007
10,153,4598,2007
11,262,4559,2007
12,316,4522,2007
13,316,4311,2007
14,364,3739,2007
15,364,3489,2007
16,277,3289,2007
17,470,3277,2007
18,470,3142,2007
19,277,3042,2007
20,282,3014,2007
21,230,2829,2007
22,282,2805,2007
23,230,2790,2007
24,163,2277,2007
25,324,2187,2007
26,163,2176,2007
27,324,1972,2007
28,60,1892,2007
29,290,1727,2007
30,60,1605,2007
31,222,1510,2007
32,135,1421,2007
33,222,1418,2007
35,290,1388,2007
38,20,1351,2007
39,476,1343,2007
41,135,1312,2007
42,232,1220,2007
43,476,1204,2007
44,376,1194,2007
45,232,1186,2007
46,20,1173,2007
48,70,1147,2007
49,158,1134,2007
50,70,1114,2007
56,376,1010,2007
57,158,1001,2007
0,101,36838,2008
1,116,36661,2008
2,116,18042,2008
3,101,17064,2008
4,381,13538,2008
5,40,10374,2008
6,153,7306,2008
7,262,6779,2008
8,316,6648,2008
9,381,6181,2008
10,364,5530,2008
11,40,4802,2008
12,277,4778,2008
13,230,4491,2008
14,470,4174,2008
15,282,3756,2008
16,153,3715,2008
17,163,3350,2008
18,316,3316,2008
19,262,3233,2008
20,364,3149,2008
21,324,3041,2008
22,476,2817,2008
23,60,2630,2008
24,277,2503,2008
25,290,2243,2008
26,230,2239,2008
27,282,2191,2008
28,222,2178,2008
29,376,2172,2008
30,135,2128,2008
31,470,2113,2008
33,20,1945,2008
34,163,1821,2008
35,232,1778,2008
36,324,1720,2008
37,70,1711,2008
44,158,1433,2008
46,60,1301,2008
47,476,1248,2008
51,222,1144,2008
53,290,1050,2008
56,135,976,2008
57,158,946,2008
58,232,904,2008
62,70,806,2008
68,20,766,2008
69,376,747,2008
0,101,60484,2009
1,116,57001,2009
2,381,22466,2009
3,40,16377,2009
4,153,12091,2009
5,262,10803,2009
6,364,10656,2009
7,316,10609,2009
8,277,8996,2009
9,376,7571,2009
10,470,7521,2009
11,230,7225,2009
12,282,6372,2009
13,163,5911,2009
14,324,4893,2009
15,476,4809,2009
16,60,4756,2009
17,135,3653,2009
18,290,3508,2009
19,222,3507,2009
20,20,3316,2009
21,232,3289,2009
24,158,2832,2009
26,70,2598,2009
27,369,2597,2009
0,101,67859,2010
1,116,65243,2010
2,381,22521,2010
3,40,20056,2010
4,153,14943,2010
5,316,13488,2010
6,262,12061,2010
7,376,11747,2010
8,364,11364,2010
9,277,11224,2010
10,470,8111,2010
11,230,7960,2010
12,163,7417,2010
13,282,7211,2010
14,324,5956,2010
15,476,5652,2010
16,60,5266,2010
17,369,5080,2010
18,290,4821,2010
19,222,4461,2010
20,232,4444,2010
22,135,3945,2010
23,20,3913,2010
24,158,3672,2010
31,70,2760,2010
0,101,71097,2011
1,116,68792,2011
2,381,22472,2011
3,40,21233,2011
4,153,15428,2011
5,316,14140,2011
6,364,12765,2011
7,376,12318,2011
8,277,12315,2011
9,262,11602,2011
10,163,8811,2011
11,470,7888,2011
12,230,7788,2011
13,282,7107,2011
14,324,6412,2011
15,476,5749,2011
16,369,5569,2011
17,60,4987,2011
18,232,4905,2011
19,135,4430,2011
20,290,4275,2011
21,222,4032,2011
23,158,3901,2011
24,20,3857,2011
29,70,2993,2011
0,101,45275,2012
1,116,44374,2012
2,101,22677,2012
3,116,21840,2012
4,381,15983,2012
5,40,13014,2012
6,153,10454,2012
7,364,8748,2012
8,316,8043,2012
9,277,7899,2012
10,381,7643,2012
11,376,7374,2012
12,262,7161,2012
13,40,6725,2012
14,163,6038,2012
15,230,5245,2012
16,153,4842,2012
17,282,4637,2012
18,470,4487,2012
19,316,4224,2012
20,324,4223,2012
21,364,4183,2012
22,277,3783,2012
23,262,3748,2012
24,376,3704,2012
25,369,3438,2012
26,60,3207,2012
27,476,3134,2012
28,232,3011,2012
29,290,2985,2012
30,135,2958,2012
31,222,2942,2012
32,163,2828,2012
33,158,2751,2012
34,20,2743,2012
36,230,2594,2012
37,282,2296,2012
38,470,2266,2012
41,70,2050,2012
45,324,1884,2012
46,369,1839,2012
48,476,1698,2012
49,60,1612,2012
51,290,1555,2012
53,20,1414,2012
55,232,1349,2012
56,222,1337,2012
58,158,1323,2012
59,135,1286,2012
67,70,1010,2012
0,101,69165,2013
1,116,67360,2013
2,381,23837,2013
3,40,19847,2013
4,153,15823,2013
5,364,12501,2013
6,316,11764,2013
7,262,11596,2013
8,277,11442,2013
9,376,10988,2013
10,163,9729,2013
11,230,8583,2013
12,470,7150,2013
13,282,6913,2013
14,324,6050,2013
15,60,5514,2013
16,290,4976,2013
17,369,4868,2013
18,476,4699,2013
19,232,4601,2013
20,222,4419,2013
21,20,4415,2013
22,135,4354,2013
23,158,4116,2013
30,70,3060,2013
0,101,65746,2014
1,116,61320,2014
2,381,18537,2014
3,40,17058,2014
4,153,14394,2014
5,364,10961,2014
6,262,10432,2014
7,316,10006,2014
8,277,9560,2014
9,376,9269,2014
10,163,8591,2014
11,230,7146,2014
12,470,7048,2014
13,282,6999,2014
14,324,6079,2014
15,290,5104,2014
16,60,5060,2014
17,232,5042,2014
18,20,4429,2014
19,369,4387,2014
21,135,3873,2014
22,222,3589,2014
23,476,3509,2014
